n,m,t,partial,serial_happy,serial_percent_served,serial_avg_time,mod_happy,mod_percent_served,mod_avg_time,min_loc_happy,min_loc_percent_served,min_loc_avg_time
500,15,20,True,35.93333333333334,0.084,20.0,37.0,0.074,19.594594594594593,41.59999999999999,0.084,20.0
500,15,30,True,134.39999999999998,0.302,30.0,147.66666666666669,0.296,29.83783783783784,150.2666666666667,0.302,30.0
500,15,40,True,283.0666666666669,0.622,40.0,287.6000000000001,0.578,39.34948096885813,304.0000000000001,0.622,40.0
500,15,50,True,399.5333333333342,0.866,49.094688221709006,400.93333333333385,0.832,48.14663461538461,423.00000000000057,0.922,50.0
500,15,60,True,476.7333333333341,0.98,55.61020408163265,472.333333333334,0.968,55.6198347107438,447.33333333333445,0.986,58.20892494929006
500,15,70,True,495.6666666666668,0.996,61.44578313253012,494.8666666666668,0.994,61.45070422535211,425.73333333333426,0.992,64.69354838709677
500,15,80,True,499.6,1.0,63.324,499.6,1.0,63.324,444.0666666666679,0.984,73.869918699187
500,15,90,True,500.0,1.0,60.344,500.0,1.0,60.344,434.6000000000009,0.99,79.96565656565656
500,10,45,True,226.40000000000026,0.5,45.0,233.2000000000001,0.47,44.04255319148936,244.30000000000015,0.5,45.0
500,20,45,True,431.34999999999945,0.914,44.33698030634573,435.0499999999995,0.896,44.136160714285715,452.9999999999995,0.942,44.82802547770701
500,30,45,True,494.33333333333246,0.992,39.659274193548384,493.3666666666659,0.99,39.561616161616165,465.3999999999989,1.0,43.986
500,40,45,True,499.72500000000025,1.0,36.486,499.72500000000025,1.0,36.486,463.42500000000075,0.998,42.99799599198397
500,50,45,True,498.74000000000024,0.998,33.44689378757515,498.74000000000024,0.998,33.44689378757515,435.0599999999998,1.0,42.532
500,60,45,True,499.98333333333335,1.0,30.576,499.98333333333335,1.0,30.576,440.5499999999995,1.0,42.31
500,70,45,True,500.0,1.0,28.85,500.0,1.0,28.85,437.98571428571387,1.0,42.58
500,80,45,True,500.0,1.0,31.494,500.0,1.0,31.494,442.63750000000033,1.0,41.954
500,90,45,True,500.0,1.0,28.138,500.0,1.0,28.138,449.4666666666664,0.998,42.813627254509015
100,15,45,True,100.0,1.0,29.53,100.0,1.0,29.53,75.99999999999997,0.98,34.46938775510204
200,15,45,True,196.26666666666677,0.99,35.94949494949495,196.26666666666677,0.99,35.94949494949495,176.00000000000006,0.98,41.36734693877551
300,15,45,True,291.06666666666695,0.9866666666666667,41.625,290.2666666666668,0.9833333333333333,41.45762711864407,273.13333333333344,0.99,43.96969696969697
400,15,45,True,331.40000000000066,0.88,44.61363636363637,332.00000000000034,0.85,43.95,344.1333333333336,0.9225,45.0
500,15,45,True,341.7333333333341,0.738,45.0,344.13333333333367,0.7,44.22571428571428,358.26666666666694,0.738,45.0
600,15,45,True,352.80000000000086,0.65,45.0,360.26666666666694,0.6083333333333333,43.989041095890414,378.6000000000003,0.65,45.0
700,15,45,True,360.20000000000107,0.5571428571428572,45.0,372.20000000000016,0.5357142857142857,44.21066666666667,385.0000000000002,0.5571428571428572,45.0
800,15,45,True,326.8000000000007,0.44625,45.0,329.33333333333337,0.4125,43.85454545454545,352.3333333333335,0.44625,45.0
900,15,45,True,345.93333333333396,0.41888888888888887,45.0,354.66666666666674,0.39555555555555555,44.19101123595506,373.1333333333335,0.41888888888888887,45.0
